acousticness,analysis_url,danceability,duration_ms,energy,spotify_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_name,track_name,class
0.00198,https://api.spotify.com/v1/audio-analysis/6hHc7Pks7wtBIW8Z6A0iFq,0.762,449160,0.651,6hHc7Pks7wtBIW8Z6A0iFq,0.856,0,0.111,-13.34,1,0.0655,130.395,4,0.941,New Order,Blue Monday,6.0
0.00198,https://api.spotify.com/v1/audio-analysis/6hHc7Pks7wtBIW8Z6A0iFq,0.762,449160,0.651,6hHc7Pks7wtBIW8Z6A0iFq,0.856,0,0.111,-13.34,1,0.0655,130.395,4,0.941,New Order,Blue Monday,1.0
0.00198,https://api.spotify.com/v1/audio-analysis/6hHc7Pks7wtBIW8Z6A0iFq,0.762,449160,0.651,6hHc7Pks7wtBIW8Z6A0iFq,0.856,0,0.111,-13.34,1,0.0655,130.395,4,0.941,New Order,Blue Monday,6.0
0.00198,https://api.spotify.com/v1/audio-analysis/6hHc7Pks7wtBIW8Z6A0iFq,0.762,449160,0.651,6hHc7Pks7wtBIW8Z6A0iFq,0.856,0,0.111,-13.34,1,0.0655,130.395,4,0.941,New Order,Blue Monday,1.0
0.677,https://api.spotify.com/v1/audio-analysis/0uHbPoDjquncfYsLt00Aj2,0.556,191200,0.297,0uHbPoDjquncfYsLt00Aj2,0.131,6,0.0794,-12.472,0,0.0421,172.2,4,0.234,Lenny Kravitz,Heaven Help,10.0
0.361,https://api.spotify.com/v1/audio-analysis/1oMPPjk92PNVK2FnJdqHGj,0.325,291012,0.733,1oMPPjk92PNVK2FnJdqHGj,0.00135,9,0.359,-4.288,1,0.0418,176.618,3,0.517,El Cruce,Mapuche,2.0
0.000112,https://api.spotify.com/v1/audio-analysis/1gvaxqNiJEbQzWPqs72kgG,0.359,197187,0.691,1gvaxqNiJEbQzWPqs72kgG,0.00167,1,0.101,-2.626,1,0.0438,116.888,4,0.311,Alvvays,In Undertow,10.0
0.000112,https://api.spotify.com/v1/audio-analysis/1gvaxqNiJEbQzWPqs72kgG,0.359,197187,0.691,1gvaxqNiJEbQzWPqs72kgG,0.00167,1,0.101,-2.626,1,0.0438,116.888,4,0.311,Alvvays,In Undertow,6.0
0.000112,https://api.spotify.com/v1/audio-analysis/1gvaxqNiJEbQzWPqs72kgG,0.359,197187,0.691,1gvaxqNiJEbQzWPqs72kgG,0.00167,1,0.101,-2.626,1,0.0438,116.888,4,0.311,Alvvays,In Undertow,10.0
0.000112,https://api.spotify.com/v1/audio-analysis/1gvaxqNiJEbQzWPqs72kgG,0.359,197187,0.691,1gvaxqNiJEbQzWPqs72kgG,0.00167,1,0.101,-2.626,1,0.0438,116.888,4,0.311,Alvvays,In Undertow,6.0
0.257,https://api.spotify.com/v1/audio-analysis/5r5cp9IpziiIsR6b93vcnQ,0.871,198440,0.701,5r5cp9IpziiIsR6b93vcnQ,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,Empire of the Sun,Walking On A Dream,9.0
0.257,https://api.spotify.com/v1/audio-analysis/5r5cp9IpziiIsR6b93vcnQ,0.871,198440,0.701,5r5cp9IpziiIsR6b93vcnQ,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,Empire of the Sun,Walking On A Dream,6.0
0.257,https://api.spotify.com/v1/audio-analysis/5r5cp9IpziiIsR6b93vcnQ,0.871,198440,0.701,5r5cp9IpziiIsR6b93vcnQ,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,Empire of the Sun,Walking On A Dream,9.0
0.257,https://api.spotify.com/v1/audio-analysis/5r5cp9IpziiIsR6b93vcnQ,0.871,198440,0.701,5r5cp9IpziiIsR6b93vcnQ,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,Empire of the Sun,Walking On A Dream,6.0
0.0591,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,0.673,194240,0.902,5Hroj5K7vLpIG4FNCRIjbP,0.000262,2,0.0558,-2.392,1,0.0346,100.012,4,0.538,American Authors,Best Day Of My Life,10.0
0.0181,https://api.spotify.com/v1/audio-analysis/62kPP0WriNYSFtM58bp53M,0.449,233705,0.577,62kPP0WriNYSFtM58bp53M,0.789,11,0.11,-6.958,1,0.0283,110.051,4,0.278,Oliver Hoss,Only With You,6.0
0.000801,https://api.spotify.com/v1/audio-analysis/5da84NXPLY2PetiqAmuh1y,0.38,269000,0.753,5da84NXPLY2PetiqAmuh1y,0.00056,9,0.0958,-8.175,0,0.0723,148.836,4,0.38,Crowbar,Existense Is Punishment,8.0
0.988,https://api.spotify.com/v1/audio-analysis/1Old32lwfyiEL26rROVahx,0.635,204613,0.27,1Old32lwfyiEL26rROVahx,0.000259,10,0.175,-8.646,0,0.0453,98.308,4,0.264,Lata Mangeshkar,Rajnigandha Phool Tumhare,3.0
0.15,https://api.spotify.com/v1/audio-analysis/3mUAcYWoIerwT5v9GppuKo,0.721,226040,0.708,3mUAcYWoIerwT5v9GppuKo,0.00439,3,0.267,-5.74,0,0.031,121.981,4,0.77,Caroline Kingsbury,Kissing Someone Else,10.0
0.841,https://api.spotify.com/v1/audio-analysis/4y8OZW2dyWRobsi2w0C64W,0.489,194542,0.284,4y8OZW2dyWRobsi2w0C64W,0.0,10,0.137,-8.699,0,0.0508,186.337,4,0.335,Sam Smith,Diamonds - Acoustic,9.0
0.19,https://api.spotify.com/v1/audio-analysis/1p4uMVyCxMjbnLcYihnsyf,0.734,172030,0.635,1p4uMVyCxMjbnLcYihnsyf,0.0,10,0.103,-5.431,0,0.203,90.001,4,0.878,Wale,Good Vibes (Za),5.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,8.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,10.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,1.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,9.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,8.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,10.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,1.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,9.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,8.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,10.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,1.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,9.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,8.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,10.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,1.0
0.00316,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.653,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.00512,9,0.144,-4.261,0,0.0582,126.928,4,0.87,Alien Ant Farm,Smooth Criminal,9.0
0.00936,https://api.spotify.com/v1/audio-analysis/1WJhQBhJGuDxp5LR2os4Za,0.948,195784,0.627,1WJhQBhJGuDxp5LR2os4Za,1.35e-05,1,0.0743,-6.11,1,0.106,129.995,4,0.417,Iggy Azalea,Sip It,5.0
0.000146,https://api.spotify.com/v1/audio-analysis/4DQVTfZfLYIf88tZJsVsXx,0.291,213448,0.963,4DQVTfZfLYIf88tZJsVsXx,1.41e-06,10,0.173,-3.881,0,0.0726,86.187,4,0.306,Hockey Dad,I Missed Out,1.0
0.000146,https://api.spotify.com/v1/audio-analysis/4DQVTfZfLYIf88tZJsVsXx,0.291,213448,0.963,4DQVTfZfLYIf88tZJsVsXx,1.41e-06,10,0.173,-3.881,0,0.0726,86.187,4,0.306,Hockey Dad,I Missed Out,10.0
0.000146,https://api.spotify.com/v1/audio-analysis/4DQVTfZfLYIf88tZJsVsXx,0.291,213448,0.963,4DQVTfZfLYIf88tZJsVsXx,1.41e-06,10,0.173,-3.881,0,0.0726,86.187,4,0.306,Hockey Dad,I Missed Out,1.0
0.000146,https://api.spotify.com/v1/audio-analysis/4DQVTfZfLYIf88tZJsVsXx,0.291,213448,0.963,4DQVTfZfLYIf88tZJsVsXx,1.41e-06,10,0.173,-3.881,0,0.0726,86.187,4,0.306,Hockey Dad,I Missed Out,10.0
0.0389,https://api.spotify.com/v1/audio-analysis/0ElRzK07sc9eszyk1ea9Ab,0.531,136427,0.849,0ElRzK07sc9eszyk1ea9Ab,0.00763,9,0.186,-10.754,1,0.111,119.516,4,0.305,The Cramps,Human Fly,6.0
0.0389,https://api.spotify.com/v1/audio-analysis/0ElRzK07sc9eszyk1ea9Ab,0.531,136427,0.849,0ElRzK07sc9eszyk1ea9Ab,0.00763,9,0.186,-10.754,1,0.111,119.516,4,0.305,The Cramps,Human Fly,1.0
0.0389,https://api.spotify.com/v1/audio-analysis/0ElRzK07sc9eszyk1ea9Ab,0.531,136427,0.849,0ElRzK07sc9eszyk1ea9Ab,0.00763,9,0.186,-10.754,1,0.111,119.516,4,0.305,The Cramps,Human Fly,6.0
0.0389,https://api.spotify.com/v1/audio-analysis/0ElRzK07sc9eszyk1ea9Ab,0.531,136427,0.849,0ElRzK07sc9eszyk1ea9Ab,0.00763,9,0.186,-10.754,1,0.111,119.516,4,0.305,The Cramps,Human Fly,1.0
0.119,https://api.spotify.com/v1/audio-analysis/31YjnyR8BJphQKK33Rm1wD,0.481,175440,0.981,31YjnyR8BJphQKK33Rm1wD,0.0,9,0.813,-1.183,1,0.0713,115.033,4,0.7,Thee Headcoats,Davy Crockett,2.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,9.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,1.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,10.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,9.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,1.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,10.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,9.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,1.0
0.0016,https://api.spotify.com/v1/audio-analysis/4jYd4edE6RjDUm27rHFERQ,0.576,153040,0.895,4jYd4edE6RjDUm27rHFERQ,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,KennyHoopla,hollywood sucks//,10.0
0.0573,https://api.spotify.com/v1/audio-analysis/5jE48hhRu8E6zBDPRSkEq7,0.807,187920,0.887,5jE48hhRu8E6zBDPRSkEq7,2.87e-06,9,0.124,-3.726,1,0.0503,134.052,4,0.961,Meghan Trainor,All About That Bass,9.0
0.000175,https://api.spotify.com/v1/audio-analysis/0VIMMw4UzOEMSKGLHa5rfR,0.531,244800,0.976,0VIMMw4UzOEMSKGLHa5rfR,7.39e-05,7,0.392,-7.339,1,0.0448,115.029,4,0.527,Bass Drum of Death,Just Business,1.0
0.000175,https://api.spotify.com/v1/audio-analysis/0VIMMw4UzOEMSKGLHa5rfR,0.531,244800,0.976,0VIMMw4UzOEMSKGLHa5rfR,7.39e-05,7,0.392,-7.339,1,0.0448,115.029,4,0.527,Bass Drum of Death,Just Business,10.0
0.000175,https://api.spotify.com/v1/audio-analysis/0VIMMw4UzOEMSKGLHa5rfR,0.531,244800,0.976,0VIMMw4UzOEMSKGLHa5rfR,7.39e-05,7,0.392,-7.339,1,0.0448,115.029,4,0.527,Bass Drum of Death,Just Business,1.0
0.000175,https://api.spotify.com/v1/audio-analysis/0VIMMw4UzOEMSKGLHa5rfR,0.531,244800,0.976,0VIMMw4UzOEMSKGLHa5rfR,7.39e-05,7,0.392,-7.339,1,0.0448,115.029,4,0.527,Bass Drum of Death,Just Business,10.0
0.000636,https://api.spotify.com/v1/audio-analysis/7BF627yIxHuxETi7HaEdnT,0.499,249147,0.936,7BF627yIxHuxETi7HaEdnT,0.0025,9,0.0658,-3.031,0,0.069,137.627,4,0.662,Scorpions,Big City Nights - 2015 - Remaster,8.0
0.000138,https://api.spotify.com/v1/audio-analysis/73Hh7xuXyKdBChmavyFz0b,0.463,162766,0.89,73Hh7xuXyKdBChmavyFz0b,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,Fresh,Nighttime,1.0
0.000138,https://api.spotify.com/v1/audio-analysis/73Hh7xuXyKdBChmavyFz0b,0.463,162766,0.89,73Hh7xuXyKdBChmavyFz0b,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,Fresh,Nighttime,10.0
0.000138,https://api.spotify.com/v1/audio-analysis/73Hh7xuXyKdBChmavyFz0b,0.463,162766,0.89,73Hh7xuXyKdBChmavyFz0b,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,Fresh,Nighttime,6.0
0.000138,https://api.spotify.com/v1/audio-analysis/73Hh7xuXyKdBChmavyFz0b,0.463,162766,0.89,73Hh7xuXyKdBChmavyFz0b,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,Fresh,Nighttime,1.0
0.000138,https://api.spotify.com/v1/audio-analysis/73Hh7xuXyKdBChmavyFz0b,0.463,162766,0.89,73Hh7xuXyKdBChmavyFz0b,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,Fresh,Nighttime,10.0
0.000138,https://api.spotify.com/v1/audio-analysis/73Hh7xuXyKdBChmavyFz0b,0.463,162766,0.89,73Hh7xuXyKdBChmavyFz0b,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,Fresh,Nighttime,6.0
0.000138,https://api.spotify.com/v1/audio-analysis/73Hh7xuXyKdBChmavyFz0b,0.463,162766,0.89,73Hh7xuXyKdBChmavyFz0b,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,Fresh,Nighttime,1.0
0.000138,https://api.spotify.com/v1/audio-analysis/73Hh7xuXyKdBChmavyFz0b,0.463,162766,0.89,73Hh7xuXyKdBChmavyFz0b,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,Fresh,Nighttime,10.0
