acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,9.0
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,1.0
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,10.0
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,9.0
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,1.0
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,10.0
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,9.0
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,1.0
0.0016,0.576,153040,0.895,6.97e-06,2,0.382,-4.672,1,0.0585,140.019,4,0.552,10.0
0.0573,0.807,187920,0.887,2.87e-06,9,0.124,-3.726,1,0.0503,134.052,4,0.961,9.0
0.000175,0.531,244800,0.976,7.39e-05,7,0.392,-7.339,1,0.0448,115.029,4,0.527,1.0
0.000175,0.531,244800,0.976,7.39e-05,7,0.392,-7.339,1,0.0448,115.029,4,0.527,10.0
0.000175,0.531,244800,0.976,7.39e-05,7,0.392,-7.339,1,0.0448,115.029,4,0.527,1.0
0.000175,0.531,244800,0.976,7.39e-05,7,0.392,-7.339,1,0.0448,115.029,4,0.527,10.0
0.000636,0.499,249147,0.936,0.0025,9,0.0658,-3.031,0,0.069,137.627,4,0.662,8.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,1.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,10.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,6.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,1.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,10.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,6.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,1.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,10.0
0.000138,0.463,162766,0.89,0.581,1,0.394,-6.099,0,0.0391,125.156,4,0.501,6.0
0.227,0.601,192364,0.645,0.271,4,0.0837,-8.512,1,0.0318,124.996,4,0.102,6.0
0.00022,0.365,210465,0.941,0.00856,4,0.571,-6.59,1,0.171,116.868,4,0.231,8.0
0.00112,0.494,225026,0.916,4.43e-06,1,0.0996,-4.734,0,0.233,89.468,4,0.433,10.0
0.387,0.411,206638,0.512,0.0,9,0.0676,-7.491,1,0.027,83.399,4,0.0544,0.0
0.0946,0.567,344507,0.864,1.42e-05,0,0.451,-6.252,1,0.0556,115.937,4,0.484,2.0
0.88,0.512,246440,0.212,0.00573,7,0.115,-21.426,1,0.0483,117.756,3,0.51,4.0
0.0431,0.482,224293,0.948,0.369,9,0.252,-3.389,1,0.179,172.674,4,0.644,10.0
0.241,0.763,145162,0.673,2.14e-06,5,0.471,-7.383,0,0.0578,133.075,4,0.63,9.0
0.241,0.763,145162,0.673,2.14e-06,5,0.471,-7.383,0,0.0578,133.075,4,0.63,6.0
0.241,0.763,145162,0.673,2.14e-06,5,0.471,-7.383,0,0.0578,133.075,4,0.63,9.0
0.241,0.763,145162,0.673,2.14e-06,5,0.471,-7.383,0,0.0578,133.075,4,0.63,6.0
0.97,0.81,186854,0.334,0.918,5,0.0996,-10.62,0,0.0773,100.275,4,0.635,2.0
0.209,0.534,270918,0.536,0.835,7,0.113,-7.682,1,0.0244,98.018,4,0.427,10.0
0.209,0.534,270918,0.536,0.835,7,0.113,-7.682,1,0.0244,98.018,4,0.427,6.0
0.209,0.534,270918,0.536,0.835,7,0.113,-7.682,1,0.0244,98.018,4,0.427,10.0
0.209,0.534,270918,0.536,0.835,7,0.113,-7.682,1,0.0244,98.018,4,0.427,6.0
0.466,0.389,300707,0.278,0.00528,7,0.102,-8.454,0,0.0318,153.25,3,0.0625,9.0
0.000563,0.427,193824,0.964,0.0,11,0.278,-4.715,0,0.103,144.992,4,0.274,8.0
0.0209,0.749,153865,0.674,0.0,10,0.169,-5.128,0,0.0366,123.055,4,0.711,9.0
0.046,0.663,216013,0.903,0.0078,11,0.121,-4.599,1,0.117,115.936,4,0.486,10.0
7.02e-05,0.446,183583,0.935,0.000745,8,0.121,-4.677,1,0.0357,136.06,4,0.614,10.0
0.0886,0.76,186261,0.605,2.09e-06,9,0.157,-8.119,1,0.0984,114.996,4,0.371,9.0
0.642,0.671,361960,0.928,0.417,8,0.505,-11.016,0,0.0364,135.159,3,0.845,3.0
0.817,0.466,322760,0.463,2.57e-05,8,0.16,-11.904,1,0.0334,82.038,4,0.537,3.0
0.00331,0.642,221082,0.843,9.37e-06,11,0.0969,-5.685,1,0.0502,121.998,4,0.765,10.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,10.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,1.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,6.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,10.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,1.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,6.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,10.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,1.0
0.0243,0.639,238853,0.715,0.000552,6,0.619,-8.954,0,0.0392,128.072,4,0.813,6.0
3.23e-06,0.378,200405,0.724,0.247,1,0.172,-6.706,0,0.0499,102.996,4,0.603,10.0
3.23e-06,0.378,200405,0.724,0.247,1,0.172,-6.706,0,0.0499,102.996,4,0.603,6.0
3.23e-06,0.378,200405,0.724,0.247,1,0.172,-6.706,0,0.0499,102.996,4,0.603,10.0
3.23e-06,0.378,200405,0.724,0.247,1,0.172,-6.706,0,0.0499,102.996,4,0.603,6.0
0.938,0.539,233375,0.297,0.915,0,0.161,-14.454,0,0.0289,75.128,4,0.358,7.0
0.0871,0.919,134667,0.485,0.0,1,0.0742,-5.062,1,0.241,89.976,4,0.33,5.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,1.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,10.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,6.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,1.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,10.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,6.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,1.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,10.0
0.195,0.456,255880,0.754,0.485,6,0.292,-3.875,0,0.0298,109.825,4,0.521,6.0
0.566,0.582,154032,0.636,0.0,9,0.106,-5.851,1,0.118,114.603,3,0.272,5.0
0.0213,0.704,166000,0.726,0.455,0,0.31,-9.888,0,0.0561,130.052,4,0.394,6.0
0.0372,0.374,235815,0.692,0.242,8,0.109,-6.157,1,0.0416,104.692,3,0.716,2.0
0.000302,0.305,156196,0.962,0.00421,4,0.308,-5.381,0,0.225,77.434,4,0.114,8.0
0.0866,0.454,354520,0.91,0.0996,6,0.116,-7.766,1,0.0448,125.116,4,0.629,10.0
0.015,0.548,261933,0.691,0.106,4,0.144,-13.553,0,0.0369,137.145,4,0.667,10.0
0.728,0.667,174857,0.659,0.249,4,0.141,-10.264,0,0.04,139.947,4,0.826,1.0
0.728,0.667,174857,0.659,0.249,4,0.141,-10.264,0,0.04,139.947,4,0.826,6.0
0.728,0.667,174857,0.659,0.249,4,0.141,-10.264,0,0.04,139.947,4,0.826,1.0
0.728,0.667,174857,0.659,0.249,4,0.141,-10.264,0,0.04,139.947,4,0.826,6.0
0.0212,0.701,297587,0.865,0.0,7,0.0956,-3.629,1,0.0283,102.998,4,0.88,9.0
1.67e-05,0.189,215947,0.878,0.00126,11,0.13,-6.256,0,0.153,170.045,4,0.379,10.0
0.0233,0.704,169413,0.809,0.0,4,0.0596,-3.045,1,0.0321,131.952,4,0.962,10.0
0.945,0.327,167122,0.145,0.884,5,0.091,-20.443,1,0.0397,178.966,1,0.136,7.0
0.00309,0.471,183720,0.802,0.0,4,0.361,-5.037,0,0.0642,82.332,4,0.406,10.0
0.000817,0.55,358547,0.591,0.568,2,0.213,-12.19,1,0.0466,134.972,4,0.285,8.0
0.0694,0.531,248173,0.818,0.0096,2,0.263,-5.358,1,0.0452,90.767,4,0.471,10.0
0.0362,0.467,298080,0.814,0.17,8,0.147,-4.917,0,0.0338,126.014,4,0.321,6.0
0.0362,0.467,298080,0.814,0.17,8,0.147,-4.917,0,0.0338,126.014,4,0.321,10.0
0.0362,0.467,298080,0.814,0.17,8,0.147,-4.917,0,0.0338,126.014,4,0.321,6.0
0.0362,0.467,298080,0.814,0.17,8,0.147,-4.917,0,0.0338,126.014,4,0.321,10.0
0.914,0.44,234383,0.269,0.261,5,0.132,-10.769,1,0.0262,103.877,3,0.138,6.0
0.914,0.44,234383,0.269,0.261,5,0.132,-10.769,1,0.0262,103.877,3,0.138,1.0
0.914,0.44,234383,0.269,0.261,5,0.132,-10.769,1,0.0262,103.877,3,0.138,6.0
0.914,0.44,234383,0.269,0.261,5,0.132,-10.769,1,0.0262,103.877,3,0.138,1.0
0.00312,0.467,160667,0.849,0.045,5,0.119,-4.646,1,0.171,120.229,4,0.764,10.0
1.17e-05,0.259,224956,0.976,0.0355,11,0.2,-4.654,0,0.1,149.351,4,0.283,10.0
1.17e-05,0.259,224956,0.976,0.0355,11,0.2,-4.654,0,0.1,149.351,4,0.283,8.0
1.17e-05,0.259,224956,0.976,0.0355,11,0.2,-4.654,0,0.1,149.351,4,0.283,10.0
1.17e-05,0.259,224956,0.976,0.0355,11,0.2,-4.654,0,0.1,149.351,4,0.283,8.0
0.23,0.631,247493,0.792,0.000317,0,0.0756,-4.364,0,0.0427,82.901,4,0.462,1.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,6.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,10.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,1.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,6.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,10.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,1.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,6.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,10.0
0.0368,0.509,278747,0.584,9.96e-05,0,0.384,-4.907,1,0.057,170.411,4,0.685,1.0
0.00434,0.685,224667,0.898,0.817,10,0.0708,-2.719,0,0.041,126.964,4,0.694,1.0
0.00434,0.685,224667,0.898,0.817,10,0.0708,-2.719,0,0.041,126.964,4,0.694,6.0
0.00434,0.685,224667,0.898,0.817,10,0.0708,-2.719,0,0.041,126.964,4,0.694,1.0
0.00434,0.685,224667,0.898,0.817,10,0.0708,-2.719,0,0.041,126.964,4,0.694,6.0
0.788,0.482,275687,0.255,0.017,1,0.17,-12.156,1,0.0339,87.309,4,0.382,1.0
0.00301,0.69,159928,0.908,0.0056,2,0.165,-3.588,0,0.0399,123.982,4,0.397,9.0
0.368,0.681,334493,0.778,0.0034,7,0.331,-7.566,1,0.0589,138.718,4,0.866,2.0
0.00617,0.583,171480,0.549,0.0532,0,0.143,-9.115,1,0.0353,104.869,3,0.341,5.0
0.322,0.845,221217,0.518,0.0637,6,0.101,-8.92,1,0.333,115.057,4,0.23,1.0
0.322,0.845,221217,0.518,0.0637,6,0.101,-8.92,1,0.333,115.057,4,0.23,6.0
0.322,0.845,221217,0.518,0.0637,6,0.101,-8.92,1,0.333,115.057,4,0.23,1.0
0.322,0.845,221217,0.518,0.0637,6,0.101,-8.92,1,0.333,115.057,4,0.23,6.0
0.859,0.392,272000,0.178,0.00453,2,0.117,-12.016,1,0.0318,123.137,4,0.178,0.0
0.859,0.392,272000,0.178,0.00453,2,0.117,-12.016,1,0.0318,123.137,4,0.178,10.0
0.859,0.392,272000,0.178,0.00453,2,0.117,-12.016,1,0.0318,123.137,4,0.178,0.0
0.859,0.392,272000,0.178,0.00453,2,0.117,-12.016,1,0.0318,123.137,4,0.178,10.0
0.593,0.598,300800,0.324,0.00526,5,0.106,-12.553,1,0.0309,80.231,4,0.376,10.0
0.012,0.639,152272,0.792,0.0,10,0.365,-4.262,1,0.0348,97.094,4,0.682,1.0
0.625,0.752,236168,0.48,0.0256,1,0.0943,-9.921,1,0.0447,102.018,4,0.655,6.0
0.000182,0.454,200769,0.993,0.0384,9,0.471,-1.761,0,0.118,130.02,4,0.193,10.0
0.014,0.508,191434,0.946,0.0,10,0.213,-4.129,0,0.0929,162.019,4,0.569,10.0
0.451,0.907,205458,0.393,1.35e-06,4,0.135,-7.636,0,0.0539,104.949,4,0.202,5.0
0.451,0.907,205458,0.393,1.35e-06,4,0.135,-7.636,0,0.0539,104.949,4,0.202,9.0
0.451,0.907,205458,0.393,1.35e-06,4,0.135,-7.636,0,0.0539,104.949,4,0.202,5.0
0.451,0.907,205458,0.393,1.35e-06,4,0.135,-7.636,0,0.0539,104.949,4,0.202,9.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,10.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,1.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,6.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,10.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,1.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,6.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,10.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,1.0
3.47e-05,0.516,200117,0.923,0.000145,7,0.0944,-5.288,1,0.0345,104.982,4,0.541,6.0
0.0097,0.515,238640,0.43,0.000133,7,0.129,-9.935,1,0.0372,91.844,4,0.104,6.0
0.0097,0.515,238640,0.43,0.000133,7,0.129,-9.935,1,0.0372,91.844,4,0.104,1.0
0.0097,0.515,238640,0.43,0.000133,7,0.129,-9.935,1,0.0372,91.844,4,0.104,6.0
0.0097,0.515,238640,0.43,0.000133,7,0.129,-9.935,1,0.0372,91.844,4,0.104,1.0
0.689,0.712,196053,0.911,8.02e-06,5,0.107,-3.866,0,0.0445,117.533,4,0.85,9.0
0.102,0.623,211573,0.961,0.000171,4,0.264,-2.616,0,0.0869,149.963,4,0.668,10.0
0.784,0.518,339320,0.219,0.0612,7,0.985,-18.147,1,0.034,77.959,4,0.5,10.0
0.581,0.474,193281,0.712,0.902,10,0.781,-8.205,1,0.114,84.461,4,0.47,6.0
0.000284,0.298,309524,0.879,2.33e-05,1,0.174,-5.084,0,0.0721,122.315,4,0.382,1.0
0.0118,0.381,149077,0.436,0.0,5,0.133,-6.731,1,0.0329,183.923,3,0.453,10.0
0.181,0.625,271410,0.571,0.235,11,0.055,-9.279,1,0.0379,119.967,4,0.0542,6.0
0.87,0.483,156774,0.142,0.000105,0,0.111,-13.264,1,0.0456,98.043,4,0.0379,5.0
0.0158,0.714,190723,0.671,0.000684,10,0.0927,-5.445,0,0.0281,138.011,4,0.415,5.0
0.00543,0.286,203605,0.749,0.0,4,0.312,-7.752,1,0.05,173.968,4,0.425,10.0
0.00825,0.694,226725,0.57,0.882,1,0.277,-10.206,1,0.0266,128.004,4,0.899,6.0
0.0558,0.615,259467,0.477,6.25e-05,2,0.231,-8.816,1,0.092,156.008,4,0.731,10.0
0.0558,0.615,259467,0.477,6.25e-05,2,0.231,-8.816,1,0.092,156.008,4,0.731,8.0
0.0558,0.615,259467,0.477,6.25e-05,2,0.231,-8.816,1,0.092,156.008,4,0.731,10.0
0.0558,0.615,259467,0.477,6.25e-05,2,0.231,-8.816,1,0.092,156.008,4,0.731,8.0
0.241,0.566,263320,0.29,0.000174,6,0.0994,-4.622,1,0.0318,127.0,4,0.106,10.0
0.0254,0.477,185440,0.648,0.0184,6,0.115,-7.687,1,0.0498,89.753,4,0.571,8.0
0.0254,0.477,185440,0.648,0.0184,6,0.115,-7.687,1,0.0498,89.753,4,0.571,10.0
0.0254,0.477,185440,0.648,0.0184,6,0.115,-7.687,1,0.0498,89.753,4,0.571,8.0
0.0254,0.477,185440,0.648,0.0184,6,0.115,-7.687,1,0.0498,89.753,4,0.571,10.0
7.42e-06,0.364,295560,0.962,0.157,2,0.611,-5.239,1,0.0499,103.589,4,0.256,8.0
0.000338,0.483,189895,0.941,0.0903,2,0.452,-5.599,0,0.0718,102.568,4,0.418,8.0
0.00304,0.386,215053,0.92,6.56e-06,6,0.341,-2.906,0,0.306,156.991,4,0.518,10.0
0.0625,0.492,200707,0.932,0.00484,5,0.34,-7.028,0,0.114,148.93,4,0.574,10.0
0.0558,0.555,256766,0.983,0.213,10,0.123,-1.597,0,0.0738,144.053,4,0.411,5.0
0.0022,0.557,237040,0.813,0.124,0,0.533,-8.919,1,0.053,124.037,4,0.261,6.0
0.254,0.726,105333,0.901,0.583,7,0.0482,-5.157,1,0.374,180.098,4,0.627,6.0
0.000545,0.541,239766,0.958,6.75e-05,4,0.246,-4.669,0,0.148,95.015,4,0.249,8.0
0.508,0.448,268427,0.544,0.906,4,0.188,-8.015,0,0.0378,109.889,4,0.27,6.0
0.866,0.369,152667,0.272,0.0,9,0.147,-10.497,1,0.0364,172.929,4,0.218,9.0
